climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,10^22 J,Heat Content,47.79859,49.05155,50.236,51.42295,52.80294,54.2749,55.72037,57.08079,58.38704,59.66288,60.90541,62.13328,63.35657,64.65301,66.02286,67.34928,68.75673,70.19206,71.68995,73.20848,74.69708,76.19246,77.70694,79.25278,80.83159,82.43877,84.07839,85.75885,87.47023,89.19665,90.91919,92.63776,94.3544,96.07823,97.8115,99.55795,101.32532,103.11828,104.94795,106.82694,108.73859,110.67384,112.61912,114.57036,116.52282,118.46929,120.41457,122.36839,124.33975,126.33465,128.36671,130.43481,132.53217,134.64485,136.74979,138.83258,140.90001,142.96107,145.01864,147.08246,149.16592,151.27492,153.3945,155.51576,157.64039,159.75429,161.85038,163.93406,166.01293,168.09248,170.17749,172.28153,174.40855,176.54792,178.68356,180.80329,182.90166,184.98498,187.06049,189.1265,191.18487,193.23781,195.29029,197.3513,199.42337,201.50142,203.57566,205.64008,207.68733,209.71789,211.72825,213.71888,215.70037,217.6774,219.65727,221.64754,223.64225,225.63943,227.62149,229.56952,231.48626,233.37518,235.24417,237.09922,238.94832,240.80274
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,10^22 J,Heat Content|Ocean,41.30623,42.44127,43.49424,44.54407,45.77007,47.07071,48.33468,49.50947,50.62903,51.71648,52.76969,53.8077,54.83955,55.94001,57.10608,58.22584,59.42173,60.63864,61.91257,63.20024,64.45527,65.71334,66.98651,68.28619,69.61351,70.96373,72.34101,73.75324,75.19044,76.63741,78.07638,79.50819,80.93528,82.36682,83.80487,85.25313,86.71881,88.20616,89.72558,91.28862,92.87834,94.48628,96.09933,97.71436,99.32698,100.93085,102.53111,104.13737,105.75814,107.39894,109.07255,110.77709,112.50578,114.24498,115.9729,117.6767,119.36407,121.04406,122.71962,124.40025,126.09859,127.81975,129.54877,131.27741,133.00757,134.72579,136.42605,138.11411,139.7976,141.48175,143.17107,144.87844,146.60696,148.34594,150.07993,151.79777,153.49496,155.17827,156.85486,158.5231,160.18495,161.84255,163.50072,165.16791,166.84615,168.53019,170.21057,171.8818,173.53717,175.17771,176.80025,178.40578,180.00471,181.60137,183.20262,184.81534,186.43333,188.05468,189.66226,191.23863,192.78746,194.31262,195.82206,197.32149,198.81853,200.32364
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.92364,1.05761,0.20479,1.09296,1.25877,1.26737,1.46855,1.33436,1.51308,1.20682,1.26387,1.20588,1.267,1.69761,1.53189,1.52347,1.49738,1.42826,1.61471,1.29799,1.52099,1.5533,1.5873,1.63097,1.6723,1.70562,1.73417,1.76282,1.78321,1.79461,1.79615,1.79982,1.80681,1.82174,1.83835,1.85963,1.89332,1.92455,1.95907,1.99464,2.01446,2.02826,2.02879,2.02937,2.02489,2.04228,2.08952,2.14195,2.19935,2.25897,2.32378,2.38208,2.43374,2.47216,2.49659,2.51334,2.54737,2.58526,2.62901,2.67964,2.73727,2.79588,2.84251,2.88276,2.92055,2.94862,2.93734,2.9272,2.92356,2.92362,2.92692,2.93702,2.94547,2.94466,2.93076,2.90776,2.8952,2.884,2.8783,2.8725,2.86874,2.86544,2.86512,2.86828,2.87043,2.86666,2.84655,2.81758,2.78185,2.74647,2.70796,2.67235,2.6437,2.61853,2.59839,2.58018,2.54307,2.50752,2.45645,2.3959,2.33814,2.28555,2.24342,2.20817,2.18171,2.16259
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,2.22333,2.14899,2.08955,2.25843,2.28391,2.19655,2.18627,2.2728,2.41253,2.41196,2.4399,2.50539,2.50517,2.55437,2.52667,2.59783,2.66651,2.66671,2.76169,2.73406,2.78501,2.86211,2.92308,2.97176,3.01465,3.05368,3.09302,3.12881,3.16134,3.19567,3.23254,3.27395,3.31417,3.3537,3.38962,3.42525,3.4578,3.48558,3.50974,3.52894,3.54357,3.56273,3.58115,3.60465,3.62679,3.65188,3.67647,3.6975,3.71365,3.72611,3.73523,3.73888,3.74275,3.74637,3.75398,3.76697,3.7836,3.79544,3.80375,3.80927,3.81022,3.80623,3.79948,3.79606,3.7928,3.78903,3.78933,3.78852,3.78512,3.77823,3.76888,3.75673,3.73945,3.72089,3.70402,3.69094,3.68068,3.66882,3.65235,3.63262,3.6117,3.58822,3.56306,3.53471,3.50274,3.46919,3.43598,3.40275,3.36903,3.33656,3.30205,3.26851,3.23273,3.19321,3.15152,3.10601,3.05773,3.01409,2.97147,2.93653,2.9065,2.87655,2.84685,2.81457,2.78122,2.74468
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,1900,1850,World,May2024 SSP 245,climate,not_relevant,K,Surface Temperature,0.570937,0.632837,0.655217,0.691437,0.742617,0.784027,0.813717,0.829557,0.844697,0.858837,0.870197,0.882047,0.896217,0.920827,0.944737,0.960847,0.989307,1.009867,1.040067,1.062007,1.082937,1.103497,1.125807,1.149717,1.175017,1.200097,1.226137,1.253707,1.280847,1.306437,1.329037,1.350377,1.370847,1.391907,1.412837,1.434667,1.457687,1.481957,1.508567,1.538057,1.566667,1.595327,1.621607,1.647337,1.671157,1.693607,1.715547,1.738287,1.762177,1.787487,1.815557,1.844567,1.874127,1.902107,1.926787,1.947987,1.968157,1.987957,2.007677,2.028477,2.051327,2.075867,2.099267,2.121847,2.143957,2.163567,2.181377,2.198417,2.215727,2.233477,2.252057,2.272967,2.295237,2.317207,2.337177,2.354747,2.370107,2.384987,2.399847,2.414177,2.428487,2.442737,2.457677,2.473997,2.491277,2.508557,2.524697,2.539637,2.552637,2.564817,2.575297,2.585127,2.595517,2.606427,2.618717,2.632477,2.646147,2.660127,2.671297,2.679137,2.685227,2.690077,2.695087,2.700337,2.706847,2.715267
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.66045,1.78015,1.6561,1.80375,1.99944,2.05499,2.06903,2.02143,2.03374,2.0292,2.0028,2.04092,2.06081,2.17582,2.22009,2.2006,2.33652,2.35742,2.4585,2.43472,2.47007,2.50041,2.5499,2.60152,2.65674,2.70507,2.76346,2.82601,2.87654,2.92224,2.95282,2.98122,3.00908,3.04672,3.07957,3.12132,3.16706,3.21749,3.28013,3.35275,3.40228,3.45947,3.49353,3.53804,3.56641,3.59586,3.62731,3.66778,3.71295,3.7638,3.82957,3.88688,3.94546,3.98708,4.01182,4.02642,4.0507,4.07515,4.10193,4.13832,4.18501,4.23429,4.26631,4.30012,4.33277,4.3478,4.36394,4.38182,4.40574,4.43145,4.46226,4.50719,4.54958,4.58396,4.60482,4.61808,4.62592,4.6414,4.65787,4.67102,4.68798,4.70409,4.72678,4.75622,4.78575,4.81093,4.82776,4.84187,4.8465,4.85561,4.85416,4.85845,4.8693,4.88116,4.90215,4.92727,4.94435,4.96595,4.96244,4.95124,4.9429,4.93235,4.93049,4.92855,4.93679,4.95271
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.21856,-1.13536,-1.29355,-1.30952,-1.13825,-1.08027,-1.08076,-1.18321,-1.20216,-1.20614,-1.24008,-1.24116,-1.25587,-1.18547,-1.15265,-1.22919,-1.1709,-1.21998,-1.16472,-1.21383,-1.19732,-1.17313,-1.14869,-1.12399,-1.09895,-1.08486,-1.08175,-1.07863,-1.0755,-1.07236,-1.0692,-1.06603,-1.06285,-1.05966,-1.05645,-1.04929,-1.03795,-1.02652,-1.01503,-1.00349,-0.99188,-0.98018,-0.96842,-0.95659,-0.9447,-0.93213,-0.91885,-0.9055,-0.89206,-0.8785,-0.86485,-0.85112,-0.83729,-0.82334,-0.80929,-0.79697,-0.78628,-0.77551,-0.76468,-0.7538,-0.74285,-0.73183,-0.72073,-0.70958,-0.69836,-0.68784,-0.67793,-0.66797,-0.65796,-0.64787,-0.63772,-0.62752,-0.61725,-0.60691,-0.59651,-0.5867,-0.57758,-0.56839,-0.55914,-0.54985,-0.54051,-0.5311,-0.52163,-0.51211,-0.50253,-0.49269,-0.48262,-0.4725,-0.46231,-0.45204,-0.4417,-0.43131,-0.42085,-0.41031,-0.39969,-0.3916,-0.38608,-0.38054,-0.37498,-0.36941,-0.36382,-0.3582,-0.35256,-0.34691,-0.34124,-0.33554
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.26205,-0.2596,-0.26245,-0.26125,-0.24933,-0.25118,-0.25091,-0.24687,-0.25269,-0.26043,-0.26536,-0.26399,-0.26138,-0.25644,-0.24632,-0.24173,-0.24294,-0.24088,-0.23907,-0.23921,-0.23698,-0.23028,-0.22358,-0.21689,-0.21013,-0.20709,-0.20757,-0.20805,-0.20853,-0.209,-0.20948,-0.20995,-0.21042,-0.21089,-0.21135,-0.21043,-0.20794,-0.20544,-0.20293,-0.20043,-0.19792,-0.1954,-0.19288,-0.19036,-0.18784,-0.18517,-0.18231,-0.17945,-0.17659,-0.17373,-0.17086,-0.168,-0.16514,-0.16227,-0.1594,-0.15706,-0.15512,-0.15319,-0.15125,-0.14931,-0.14737,-0.14543,-0.14349,-0.14155,-0.13962,-0.13804,-0.13669,-0.13535,-0.13401,-0.13267,-0.13133,-0.12999,-0.12865,-0.12731,-0.12596,-0.1247,-0.1236,-0.1225,-0.12141,-0.12031,-0.11921,-0.11811,-0.11702,-0.11592,-0.11483,-0.11358,-0.11219,-0.11081,-0.10942,-0.10804,-0.10665,-0.10527,-0.10389,-0.10251,-0.10112,-0.10007,-0.09938,-0.09869,-0.098,-0.09731,-0.09662,-0.09593,-0.09524,-0.09455,-0.09387,-0.09318
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.9565,-0.87576,-1.0311,-1.04827,-0.88892,-0.82909,-0.82986,-0.93634,-0.94947,-0.94571,-0.97472,-0.97717,-0.99448,-0.92903,-0.90633,-0.98746,-0.92796,-0.9791,-0.92566,-0.97462,-0.96034,-0.94286,-0.92511,-0.90711,-0.88882,-0.87777,-0.87418,-0.87058,-0.86697,-0.86335,-0.85972,-0.85608,-0.85243,-0.84877,-0.84509,-0.83886,-0.83001,-0.82109,-0.8121,-0.80307,-0.79396,-0.78478,-0.77554,-0.76623,-0.75686,-0.74696,-0.73654,-0.72605,-0.71546,-0.70477,-0.69399,-0.68312,-0.67215,-0.66107,-0.64989,-0.63991,-0.63116,-0.62233,-0.61343,-0.60449,-0.59548,-0.58639,-0.57723,-0.56802,-0.55874,-0.54981,-0.54124,-0.53262,-0.52395,-0.5152,-0.50639,-0.49753,-0.48861,-0.47961,-0.47054,-0.462,-0.45397,-0.44588,-0.43774,-0.42954,-0.4213,-0.41298,-0.40461,-0.39619,-0.3877,-0.37911,-0.37043,-0.36169,-0.35288,-0.344,-0.33505,-0.32604,-0.31697,-0.30781,-0.29857,-0.29153,-0.28671,-0.28186,-0.27699,-0.2721,-0.2672,-0.26227,-0.25732,-0.25236,-0.24737,-0.24237
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.49871,0.49942,0.50104,0.5044,0.50741,0.50728,0.50668,0.50759,0.50934,0.50955,0.50918,0.50917,0.51125,0.51483,0.5162,0.51834,0.52028,0.52107,0.5238,0.5271,0.53098,0.53696,0.54253,0.54772,0.55254,0.55703,0.5612,0.56517,0.56896,0.57257,0.57603,0.57936,0.58257,0.58568,0.58868,0.59159,0.59441,0.59686,0.59899,0.60079,0.60228,0.6035,0.60445,0.60517,0.60567,0.60597,0.60611,0.60593,0.60547,0.60472,0.60372,0.60247,0.60097,0.59925,0.59733,0.59522,0.59297,0.59052,0.5879,0.58511,0.58215,0.57905,0.57579,0.57239,0.56886,0.56522,0.56148,0.55785,0.55432,0.55089,0.54754,0.54428,0.54108,0.53794,0.53485,0.53182,0.52885,0.5259,0.52295,0.52002,0.51709,0.51417,0.51127,0.50837,0.50547,0.50257,0.49966,0.4969,0.49427,0.49178,0.48941,0.48716,0.48502,0.48299,0.48106,0.47921,0.47743,0.47573,0.4741,0.47254,0.47105,0.46965,0.46832,0.46705,0.46585,0.46471
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,W/m^2,Effective Radiative Forcing|CO2,1.43817,1.46533,1.48444,1.52533,1.55433,1.57365,1.59696,1.62936,1.66776,1.69113,1.71949,1.7504,1.77371,1.80484,1.8272,1.8624,1.89439,1.92402,1.96254,1.98831,2.02213,2.05891,2.09555,2.13213,2.16861,2.20505,2.2415,2.27795,2.31442,2.35096,2.38761,2.4244,2.46131,2.49833,2.53543,2.57259,2.60982,2.64676,2.68348,2.71998,2.75629,2.79248,2.82858,2.86466,2.9007,2.93673,2.97263,3.00813,3.04326,3.07801,3.11239,3.1464,3.1801,3.21352,3.24672,3.27975,3.31262,3.34496,3.37678,3.40805,3.43879,3.46898,3.49864,3.52782,3.55657,3.58489,3.61283,3.64015,3.66688,3.693,3.71852,3.74344,3.76775,3.79148,3.81468,3.8374,3.85966,3.88103,3.90153,3.92115,3.93991,3.95782,3.97489,3.99111,4.00652,4.02111,4.03493,4.04773,4.05958,4.07049,4.08049,4.08957,4.09774,4.10498,4.1113,4.11669,4.12116,4.12522,4.12888,4.13216,4.13508,4.13762,4.13976,4.14146,4.14268,4.14341
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,W/m^2,Effective Radiative Forcing|N2O,0.13984,0.14351,0.14669,0.14925,0.1521,0.15587,0.1585,0.16065,0.16286,0.16509,0.16784,0.17069,0.1732,0.17645,0.17891,0.18194,0.18551,0.18848,0.19165,0.19536,0.19949,0.20206,0.20464,0.20723,0.20983,0.21246,0.21509,0.21775,0.22042,0.22311,0.22581,0.22853,0.23126,0.23401,0.23677,0.23955,0.24233,0.24512,0.2479,0.25068,0.25345,0.25622,0.25899,0.26175,0.2645,0.26725,0.27,0.27272,0.27542,0.27809,0.28075,0.28338,0.28599,0.28858,0.29114,0.29369,0.29621,0.29869,0.30114,0.30356,0.30594,0.30828,0.31059,0.31287,0.31512,0.31733,0.3195,0.32163,0.32371,0.32574,0.32772,0.32965,0.33153,0.33337,0.33517,0.33691,0.33861,0.34025,0.34182,0.34332,0.34476,0.34614,0.34746,0.34871,0.3499,0.35103,0.3521,0.35313,0.3541,0.35503,0.35592,0.35676,0.35755,0.3583,0.35901,0.35968,0.3603,0.36088,0.36142,0.36192,0.36238,0.3628,0.36318,0.36353,0.36383,0.3641
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,W/m^2,OZTOTAL_ERF,0.401,0.37711,0.37179,0.43718,0.4188,0.38557,0.37654,0.3813,0.4079,0.41361,0.42715,0.43676,0.45426,0.45713,0.45413,0.44941,0.46351,0.46541,0.47513,0.46442,0.47909,0.47638,0.47546,0.473,0.47109,0.46903,0.46691,0.46746,0.46792,0.46834,0.46877,0.46926,0.46974,0.47019,0.47055,0.47086,0.47107,0.46949,0.46774,0.46576,0.46355,0.46123,0.45879,0.4563,0.45372,0.4511,0.44841,0.44567,0.44276,0.43967,0.43637,0.43282,0.4291,0.42521,0.42123,0.41721,0.41318,0.40899,0.40476,0.40048,0.39612,0.39164,0.38704,0.38244,0.37784,0.37322,0.36866,0.36412,0.35963,0.35515,0.35068,0.34617,0.34159,0.33697,0.33237,0.32784,0.32342,0.31982,0.31623,0.31263,0.30905,0.30546,0.30186,0.29822,0.29453,0.29078,0.28703,0.28325,0.27955,0.27595,0.2724,0.26893,0.26552,0.26211,0.2587,0.25525,0.25177,0.24913,0.2465,0.24398,0.24161,0.23931,0.23707,0.23484,0.23261,0.23035
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,ppb,Atmospheric Concentrations|CH4,1755.23,1757.19,1761.5,1770.29,1778.2,1778.01,1776.53,1778.96,1783.59,1784.23,1783.36,1783.42,1788.95,1798.42,1802.1,1807.85,1813.07,1815.26,1822.58,1831.47,1841.94,1858.01085,1873.05852,1887.13893,1900.30445,1912.60548,1924.10515,1935.10744,1945.63016,1955.71189,1965.39906,1974.75136,1983.80332,1992.58435,2001.10729,2009.39219,2017.44486,2024.50561,2030.62939,2035.85552,2040.21698,2043.78389,2046.61053,2048.77253,2050.32231,2051.32273,2051.82589,2051.44644,2050.23866,2048.24756,2045.51328,2042.05793,2037.9258,2033.15985,2027.82244,2021.98714,2015.7274,2008.93892,2001.66301,1993.93296,1985.77307,1977.19447,1968.2125,1958.86701,1949.19669,1939.23115,1929.01738,1919.13097,1909.5575,1900.27284,1891.25287,1882.47074,1873.88997,1865.48505,1857.24751,1849.18407,1841.30584,1833.47173,1825.68319,1817.93686,1810.23575,1802.57762,1794.96036,1787.37419,1779.80775,1772.25283,1764.71054,1757.55159,1750.75858,1744.32114,1738.21936,1732.44172,1726.96897,1721.77333,1716.8301,1712.10884,1707.58167,1703.25256,1699.10458,1695.14636,1691.38947,1687.83158,1684.466,1681.2758,1678.24514,1675.35119
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,ppb,Atmospheric Concentrations|N2O,311.279,312.298,313.183,313.907,314.709,315.759,316.493,317.101,317.73,318.357,319.13,319.933,320.646,321.575,322.275,323.141,324.159,325.005,325.919,326.988,328.18,328.93974,329.70201,330.46793,331.239,332.01517,332.79642,333.58324,334.37555,335.1733,335.97648,336.78511,337.59915,338.41855,339.24327,340.0733,340.90855,341.74271,342.57572,343.40756,344.23815,345.06753,345.8957,346.72272,347.54858,348.37333,349.19698,350.01356,350.82305,351.62548,352.42087,353.20922,353.99059,354.765,355.53253,356.29329,357.04738,357.79047,358.5226,359.24384,359.95427,360.65392,361.34286,362.02118,362.68897,363.34633,363.99336,364.62612,365.24472,365.84925,366.4398,367.01645,367.57928,368.12839,368.66388,369.18585,369.69449,370.18315,370.65193,371.10094,371.53035,371.94034,372.33105,372.70256,373.05506,373.38867,373.70354,374.00438,374.29139,374.56472,374.82449,375.07081,375.30381,375.5236,375.73026,375.92384,376.10445,376.2728,376.42897,376.57308,376.70531,376.82577,376.93458,377.0318,377.11754,377.19187
MAGICC7,eadc2eb5-25f8-4b3e-a93a-9c67551b8076,MESSAGE-GLOBIOM,0.5,,,World,May2024 SSP 245,climate,not_relevant,ppm,Atmospheric Concentrations|CO2,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.57472,405.20586,407.84759,410.49803,413.16022,415.83785,418.53121,421.24189,423.97298,426.72765,429.50842,432.31472,435.14527,437.99808,440.87259,443.76797,446.65858,449.5473,452.43514,455.32389,458.2189,461.12343,464.04128,466.97306,469.91967,472.87094,475.80653,478.72619,481.62938,484.51671,487.38855,490.248,493.09841,495.94407,498.7888,501.63424,504.44742,507.22807,509.97462,512.68598,515.36129,518.00154,520.61069,523.19159,525.74557,528.27504,530.75921,533.19881,535.59241,537.9394,540.23947,542.49219,544.69907,546.86364,548.98992,551.08075,553.09421,555.03163,556.89163,558.67494,560.38168,562.01232,563.56673,565.04533,566.44944,567.78168,569.0187,570.16503,571.223,572.19323,573.0761,573.87144,574.57773,575.19436,575.72057,576.15726,576.5552,576.91318,577.23429,577.52038,577.76979,577.97968,578.14605,578.26631,578.33792
